관리번호|법정동코드|시도명|시군구명|법정읍면동명|법정리명|산여부|지번본번|지번부번|도로명코드|도로명|지하여부|건물본번|건물부번|행정동코드|행정동명|우편번호|우편일련번호|고시일자|이동사유코드|변경전도로명주소|시군구용건물명|공동주택구분|기타
41370101219800100002600000|4137010100|경기도|오산시|오산동||0|614|28|413702198001|성호대로|0|26|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100002600002|4137010100|경기도|오산시|오산동||0|614|24|413702198001|성호대로|0|26|2|4137053000|남촌동|18130||20110729|0|||대한민국사진관|
41370101219800100002600003|4137010100|경기도|오산시|오산동||0|612|11|413702198001|성호대로|0|26|3|4137053000|남촌동|18130||20110729|0||||
41370101219800100002600004|4137010100|경기도|오산시|오산동||0|614|25|413702198001|성호대로|0|26|4|4137053000|남촌동|18130||20110729|0||||
41370101219800100002600005|4137010100|경기도|오산시|오산동||0|612|18|413702198001|성호대로|0|26|5|4137053000|남촌동|18130||20110729|0||||
41370101219800100002600006|4137010100|경기도|오산시|오산동||0|614|22|413702198001|성호대로|0|26|6|4137053000|남촌동|18130||20110729|0||||
41370101219800100002600007|4137010100|경기도|오산시|오산동||0|612|19|413702198001|성호대로|0|26|7|4137053000|남촌동|18130||20110729|0||||
41370101219800100002600008|4137010100|경기도|오산시|오산동||0|614|6|413702198001|성호대로|0|26|8|4137053000|남촌동|18130||20110729|0|||렉스빌|
41370101219800100002600010|4137010100|경기도|오산시|오산동||0|614|21|413702198001|성호대로|0|26|10|4137053000|남촌동|18130||20131220|1||리버사이드|리버사이드|
41370101219800100002700000|4137010100|경기도|오산시|오산동||0|613|8|413702198001|성호대로|0|27|0|4137053000|남촌동|18129||20110729|0|||새오산신협|
41370101219800100002700001|4137010100|경기도|오산시|오산동||0|613|5|413702198001|성호대로|0|27|1|4137053000|남촌동|18129||20110729|0||||
41370101219800100002700004|4137010100|경기도|오산시|오산동||0|612|2|413702198001|성호대로|0|27|4|4137053000|남촌동|18129||20110729|0||||
41370101219800100002700006|4137010100|경기도|오산시|오산동||0|518|6|413702198001|성호대로|0|27|6|4137053000|남촌동|18129||20110729|0||||
41370101219800100002700007|4137010100|경기도|오산시|오산동||0|517|3|413702198001|성호대로|0|27|7|4137053000|남촌동|18129||20240322|0||||
41370101219800100002700008|4137010100|경기도|오산시|오산동||0|518|1|413702198001|성호대로|0|27|8|4137053000|남촌동|18129||20140905|1||퍼스트빌|퍼스트빌|
41370101219800100002700010|4137010100|경기도|오산시|오산동||0|517|2|413702198001|성호대로|0|27|10|4137053000|남촌동|18129||20140905|1||블루힐|블루힐|
41370101219800100002700015|4137010100|경기도|오산시|오산동||0|517|1|413702198001|성호대로|0|27|15|4137053000|남촌동|18129||20110729|0||||
41370101219800100002700017|4137010100|경기도|오산시|오산동||0|517|4|413702198001|성호대로|0|27|17|4137053000|남촌동|18129||20140731|0||||
41370101219800100002700019|4137010100|경기도|오산시|오산동||0|516|4|413702198001|성호대로|0|27|19|4137053000|남촌동|18129||20110729|0||||
41370101219800100002700020|4137010100|경기도|오산시|오산동||0|508|20|413702198001|성호대로|0|27|20|4137053000|남촌동|18129||20150223|1||탑클래스|탑클래스|
41370101219800100002800000|4137010100|경기도|오산시|오산동||0|612|1|413702198001|성호대로|0|28|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100002900000|4137010100|경기도|오산시|오산동||0|611|2|413702198001|성호대로|0|29|0|4137053000|남촌동|18129||20110729|0||||
41370101219800100003000000|4137010100|경기도|오산시|오산동||0|611|1|413702198001|성호대로|0|30|0|4137053000|남촌동|18130||20110729|0||||
41370101219800100003000001|4137010100|경기도|오산시|오산동||0|610|1|413702198001|성호대로|0|30|1|4137053000|남촌동|18130||20170727|0||||
41370101219800100003000003|4137010100|경기도|오산시|오산동||0|611|12|413702198001|성호대로|0|30|3|4137053000|남촌동|18130||20110729|0||||
41370101219800100003000005|4137010100|경기도|오산시|오산동||0|610|7|413702198001|성호대로|0|30|5|4137053000|남촌동|18130||20110729|0||||
41370101219800100003000007|4137010100|경기도|오산시|오산동||0|610|17|413702198001|성호대로|0|30|7|4137053000|남촌동|18130||20120529|0||||
41370101219800100003000009|4137010100|경기도|오산시|오산동||0|610|4|413702198001|성호대로|0|30|9|4137053000|남촌동|18130||20110729|0||||
41370101219800100003100000|4137010100|경기도|오산시|오산동||0|609|181|413702198001|성호대로|0|31|0|4137053000|남촌동|18129||20110729|0||||
41370101219800100003200000|4137010100|경기도|오산시|오산동||0|609|11|413702198001|성호대로|0|32|0|4137053000|남촌동|18130||20110729|0|||오산농협|
41370101219800100003300000|4137010100|경기도|오산시|오산동||0|609|48|413702198001|성호대로|0|33|0|4137053000|남촌동|18129||20110729|0||||
